------ Begin Next Fly'm ------


"Begin Fly'm (Tue May 04 16:05:02 2021)"
"Ions Flown Separately, Comp Quality(3)"
"Number of Ions to Fly = 10000"
"Changes:","Mass","Charge","X","Y","Z","KE","Azm","Elv","Time of Birth"
" ","NO ","NO ","NO ","NO ","NO ","NO ","YES","YES","NO "


"Ion N","Mass","X","Y","Z","Azm","Elv","Vx","Vy","Vz","KE"
213,28,169.102,139.793,150,90.5845,-0.00603158,-0.269043,-0.0027765,-26.3735,100.936
214,28,163.84,143.565,150,89.9835,-0.404044,0.0075839,-0.185972,-26.3714,100.915
215,28,164.279,144.526,150,90.1173,-0.894422,-0.0539692,-0.41168,-26.3696,100.921
216,28,162.36,140.14,150,89.894,-0.0510407,0.0487763,-0.0234949,-26.3741,100.931
217,28,161.57,141.76,150,89.1064,-1.03444,0.411129,-0.476004,-26.3588,100.871
218,28,166.306,136.144,150,90.3707,0.516015,-0.170582,0.237435,-26.3624,100.853
219,28,160.534,139.2,150,89.7245,0.0412282,0.126804,0.0189741,-26.3685,100.89
220,28,161.25,137.106,150,89.2779,0.735857,0.332246,0.338607,-26.3613,100.865
221,28,166.718,136.836,150,90.3142,0.340866,-0.144549,0.156841,-26.3625,100.848
222,28,160.373,138.425,150,89.6729,0.140635,0.150524,0.0647142,-26.3646,100.862
223,28,164.543,138.721,150,90.0352,0.0537635,-0.0162187,0.0247493,-26.3754,100.94
224,28,166.352,143.341,150,90.4124,-0.673666,-0.189775,-0.309984,-26.3625,100.861
225,28,168.414,140.967,150,90.9009,-0.502242,-0.414581,-0.231132,-26.3636,100.883
226,28,162.234,137.23,150,89.8479,0.208299,0.0699994,0.095853,-26.3656,100.867
227,28,167.202,142.704,150,90.4551,-0.5328,-0.209388,-0.245159,-26.3621,100.853
228,28,161.428,137.403,150,89.1799,0.821024,0.377346,0.377804,-26.3609,100.87
229,28,160.867,142.397,150,89.3287,-0.75833,0.308887,-0.348942,-26.3611,100.862
230,28,159.248,140.321,150,89.5108,-0.100801,0.225159,-0.0463929,-26.3689,100.898
231,28,160.919,141.644,150,89.7374,-0.222823,0.120847,-0.102536,-26.3651,100.866
232,28,164.187,137.243,150,90.0147,0.17708,-0.00678116,0.0815106,-26.3734,100.926
233,28,159.425,140.074,150,88.8706,-0.396066,0.519766,-0.182286,-26.3643,100.9
234,28,160.349,139.021,150,88.891,0.637715,0.510344,0.293484,-26.3622,100.89
235,28,168.527,138.434,150,90.6584,0.315545,-0.302979,0.145209,-26.3646,100.874
236,28,168.753,139.068,150,90.8731,0.328011,-0.401817,0.150963,-26.3662,100.897
237,28,160.13,137.642,150,89.4246,0.411086,0.264764,0.189156,-26.3622,100.855
238,28,163.242,139.447,150,89.9528,0.000437041,0.0217439,0.000201197,-26.3768,100.951
239,28,160.266,137.943,150,89.6082,0.229548,0.180275,0.105625,-26.3636,100.856
240,28,161.099,138.193,150,89.7594,0.137163,0.110703,0.0631154,-26.3644,100.858
241,28,165.973,135.936,150,90.3019,0.495197,-0.138914,0.227864,-26.3635,100.859
242,28,169.015,139.85,150,91.1068,0.102261,-0.50945,0.047073,-26.3697,100.935
243,28,167.692,139.059,150,91.1149,0.620061,-0.513017,0.285353,-26.3616,100.885
244,28,163.832,143.577,150,89.604,-1.23325,0.182208,-0.567559,-26.3637,100.902
245,28,168.025,141.876,150,90.6503,-0.526834,-0.299236,-0.242426,-26.3626,100.864
246,28,165.483,138.736,150,90.0996,0.0580474,-0.0458636,0.026719,-26.3729,100.922
247,28,163.649,143.675,150,89.6087,-1.17182,0.180072,-0.539293,-26.3642,100.902
248,28,167.876,140.33,150,90.3215,-0.0814498,-0.147942,-0.0374853,-26.3686,100.892
249,28,166.369,142.087,150,90.1983,-0.251325,-0.0912543,-0.11565,-26.365,100.864
250,28,161.417,140.34,150,89.8194,-0.0708854,0.0831017,-0.0326256,-26.3707,100.905
251,28,160.902,138.021,150,89.0907,0.766283,0.418403,0.352629,-26.3615,100.878
252,28,168.188,141.338,150,90.8357,-0.56635,-0.384537,-0.260623,-26.3627,100.874
253,28,162.435,143.259,150,89.8342,-0.403191,0.0762922,-0.185526,-26.3638,100.857
254,28,161.382,141.953,150,89.1617,-0.970675,0.385714,-0.446673,-26.3603,100.876
255,28,165.432,143.276,150,90.1496,-0.397015,-0.0688477,-0.182692,-26.3649,100.866
256,28,167.803,138.555,150,90.958,0.60679,-0.44084,0.279243,-26.3627,100.883
257,28,160.714,142.4,150,89.3571,-0.702601,0.295824,-0.323306,-26.362,100.866
258,28,167.738,142.182,150,90.6084,-0.564491,-0.279913,-0.259745,-26.3617,100.857
259,28,161.374,141.81,150,89.1241,-0.979923,0.402991,-0.450929,-26.36,100.876
260,28,167.472,138.496,150,90.9908,0.698297,-0.45591,0.321353,-26.362,100.883
261,28,166.723,138.983,150,90.2,0.0506822,-0.0920406,0.0233262,-26.3699,100.9
262,28,166.501,142.205,150,90.7762,-0.973993,-0.357134,-0.448181,-26.3596,100.867
263,28,166.012,140.06,150,90.1341,-0.0451741,-0.0617105,-0.0207935,-26.373,100.922
264,28,165.238,139.306,150,90.0795,0.011847,-0.0365752,0.00545363,-26.3754,100.94
265,28,168.96,140.196,150,91.0024,-0.283422,-0.461338,-0.130448,-26.3667,100.907
266,28,168.102,139.372,150,91.1228,0.498897,-0.516673,0.229597,-26.3623,100.887
267,28,167.987,138.15,150,90.7937,0.521151,-0.365236,0.239823,-26.3631,100.874
268,28,166.504,137.448,150,90.2254,0.211373,-0.103739,0.0972688,-26.3658,100.87
269,28,162.543,143.767,150,89.797,-0.54386,0.0934274,-0.250256,-26.3635,100.86
270,28,165.859,139.22,150,90.1251,0.021653,-0.0575602,0.00996604,-26.371,100.907
271,28,165.882,139.871,150,90.1234,-0.0300669,-0.0567937,-0.0138402,-26.374,100.93
272,28,168.134,139.571,150,91.166,0.474242,-0.536565,0.218261,-26.3632,100.896
273,28,161.66,142.692,150,89.772,-0.346184,0.104915,-0.159295,-26.3639,100.857
274,28,162.881,143.141,150,89.8934,-0.356842,0.0490363,-0.164221,-26.3675,100.884
275,28,159.612,138.252,150,89.3911,0.317044,0.280193,0.145892,-26.3636,100.865
276,28,167.844,139.042,150,90.329,0.0689649,-0.151404,0.0317388,-26.368,100.887
277,28,163.39,135.642,150,89.57,1.05627,0.197852,0.486093,-26.3637,100.891
278,28,159.225,138.869,150,89.4103,0.183601,0.271381,0.0844923,-26.3657,100.878
